,bird_id,n_syls,run
0,bk100bk99,7,0
1,bk100bk99,6,1
2,bk100bk99,9,2
3,bk100bk99,9,3
4,bk13bk12,10,0
5,bk13bk12,11,1
6,bk13bk12,11,2
7,bk13bk12,10,3
8,bk17bk30,17,0
9,bk17bk30,15,1
10,bk17bk30,16,2
11,bk17bk30,17,3
12,bk1bk3,13,0
13,bk1bk3,8,1
14,bk1bk3,8,2
15,bk1bk3,13,3
16,bk1bk9,9,0
17,bk1bk9,7,1
18,bk1bk9,8,2
19,bk1bk9,7,3
20,bk20bk45,7,0
21,bk20bk45,8,1
22,bk20bk45,7,2
23,bk20bk45,8,3
24,bk28bk68,10,0
25,bk28bk68,11,1
26,bk28bk68,11,2
27,bk28bk68,10,3
28,bk2bk10,21,0
29,bk2bk10,21,1
30,bk2bk10,20,2
31,bk2bk10,21,3
32,bk30bk40,12,0
33,bk30bk40,11,1
34,bk30bk40,12,2
35,bk30bk40,12,3
36,bk31bk89,8,0
37,bk31bk89,7,1
38,bk31bk89,8,2
39,bk31bk89,6,3
40,bk34bk33,21,0
41,bk34bk33,20,1
42,bk34bk33,21,2
43,bk34bk33,21,3
44,bk34bk51,12,0
45,bk34bk51,9,1
46,bk34bk51,9,2
47,bk34bk51,9,3
48,bk36bk37,11,0
49,bk36bk37,13,1
50,bk36bk37,12,2
51,bk36bk37,12,3
52,bk38bk39,4,0
53,bk38bk39,5,1
54,bk38bk39,4,2
55,bk38bk39,4,3
56,bk41bk14,12,0
57,bk41bk14,15,1
58,bk41bk14,12,2
59,bk41bk14,12,3
60,bk43bk70,18,0
61,bk43bk70,21,1
62,bk43bk70,19,2
63,bk43bk70,20,3
64,bk47bk40,16,0
65,bk47bk40,12,1
66,bk47bk40,14,2
67,bk47bk40,12,3
68,bk4bk47,8,0
69,bk4bk47,8,1
70,bk4bk47,6,2
71,bk4bk47,8,3
72,bk4bk95,7,0
73,bk4bk95,9,1
74,bk4bk95,8,2
75,bk4bk95,8,3
76,bk50bk49,8,0
77,bk50bk49,9,1
78,bk50bk49,9,2
79,bk50bk49,8,3
80,bk51bk59,8,0
81,bk51bk59,7,1
82,bk51bk59,8,2
83,bk51bk59,5,3
84,bk59bk42,9,0
85,bk59bk42,9,1
86,bk59bk42,9,2
87,bk59bk42,9,3
88,bk5bk25,7,0
89,bk5bk25,8,1
90,bk5bk25,7,2
91,bk5bk25,8,3
92,bk5bk60,9,0
93,bk5bk60,8,1
94,bk5bk60,8,2
95,bk5bk60,8,3
96,bk64bk65,16,0
97,bk64bk65,16,1
98,bk64bk65,18,2
99,bk64bk65,15,3
100,bk65bk85,10,0
101,bk65bk85,10,1
102,bk65bk85,9,2
103,bk65bk85,12,3
